Passenger ID,Longest Run
2623,0
5227,0
7181,0
4483,0
9537,0
9822,0
780,0
5150,0
12688,0
13856,0
227,0
10873,0
13026,0
2810,0
4276,0
9501,0
10897,0
6772,0
9553,0
9832,0
4073,0
5094,0
8212,0
12364,0
979,0
202,0
14241,0
1406,0
14240,0
1351,0
1967,0
9282,0
14236,0
387,0
4274,0
11263,0
9237,0
10801,0
4881,0
5561,0
12111,0
13507,0
9859,0
10850,0
14222,0
10870,0
11372,0
10879,0
8014,0
3916,0
10806,0
3821,0
5501,0
10896,0
9536,0
7151,0
9559,0
2498,0
10895,0
14249,0
4273,0
8120,0
13885,0
9252,0
9511,0
10858,0
13971,0
14299,0
4525,0
5013,0
5410,0
13061,0
4586,0
1049,0
9521,0
9565,0
4819,0
6263,0
10812,0
14212,0
9510,0
10880,0
2862,0
4841,0
9531,0
10818,0
10848,0
1393,0
4502,0
8063,0
9561,0
14223,0
6281,0
1792,0
3627,0
3820,0
10825,0
12907,0
9520,0
3802,0
10832,0
2441,0
10805,0
9542,0
10844,0
14269,0
9362,0
478,0
2765,0
9591,0
3892,0
14296,0
1033,0
3873,0
9594,0
9586,0
2894,0
7153,0
9212,0
9223,0
9585,0
12999,0
9810,0
13197,0
7154,0
10888,0
12239,0
7469,0
10843,0
10892,0
14293,0
4218,0
2696,0
3961,0
5163,0
10689,0
10890,0
3021,0
10814,0
9363,0
5616,0
10809,0
9589,0
13192,0
10853,0
8317,0
9532,0
12933,0
2713,0
10834,0
13526,0
10867,0
